Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Engagement
1644430081,4/8/2016,7842,7,43,161,1229,2928,Medium
1644430081,4/9/2016,13840,18,81,192,1149,3290,High
1644430081,4/10/2016,1329,0,0,35,207,489,Medium
1844505072,4/1/2016,6847,9,9,251,1171,1969,Medium
1844505072,4/2/2016,5367,0,0,263,1177,1889,Medium
1844505072,4/3/2016,2841,0,0,136,1114,1636,Low
1844505072,4/4/2016,0,0,0,0,669,1347,Medium
1844505072,4/5/2016,0,0,0,0,1440,1347,Low
1844505072,4/6/2016,7,0,0,1,1439,1349,Low
1844505072,4/7/2016,6344,0,0,290,1150,1965,Medium
1844505072,4/8/2016,5316,0,0,221,1219,1824,Low
1844505072,4/9/2016,4979,0,0,184,620,1807,Medium
1844505072,4/10/2016,6556,0,0,305,810,1971,Medium
1844505072,4/11/2016,5430,0,0,251,1189,1888,Medium
1844505072,4/12/2016,0,0,0,0,426,399,Medium
1927972279,4/1/2016,4317,0,11,192,854,2590,High
1927972279,4/2/2016,5662,0,0,267,858,2783,High
1927972279,4/3/2016,3198,0,0,146,1183,2449,High
1927972279,4/4/2016,2352,0,0,128,829,2380,Medium
1927972279,4/5/2016,2234,0,0,108,912,2344,Medium
1927972279,4/6/2016,1259,0,0,73,938,2202,Medium
1927972279,4/7/2016,768,0,0,43,1397,2130,Low
1927972279,4/8/2016,519,0,0,34,1406,2088,Low
1927972279,4/9/2016,2523,0,9,134,1250,2443,Medium
1927972279,4/10/2016,2105,0,0,139,805,2442,Medium
1927972279,4/11/2016,1209,0,0,73,842,2255,Medium
1927972279,4/12/2016,24,0,0,3,161,942,Medium
2022484408,4/1/2016,13603,72,16,213,1139,2645,High
2022484408,4/2/2016,5477,0,0,237,1203,2040,Medium
2022484408,4/3/2016,11144,25,22,279,1114,2395,High
2022484408,4/4/2016,15313,62,19,233,1126,2581,High
2022484408,4/5/2016,10805,36,37,298,1069,2735,High
2022484408,4/6/2016,15392,47,42,258,1093,2733,High
2022484408,4/7/2016,18247,72,62,252,1054,3021,High
2022484408,4/8/2016,13023,40,12,296,1092,2577,High
2022484408,4/9/2016,16267,44,16,302,1078,2811,High
2022484408,4/10/2016,10005,1,23,339,1077,2458,High
2022484408,4/11/2016,10106,41,16,272,1111,2568,High
2022484408,4/12/2016,6717,41,5,67,551,1140,Medium
2026352035,4/1/2016,2605,0,0,166,729,1407,Medium
2026352035,4/2/2016,1229,0,0,69,795,1237,Low
2026352035,4/3/2016,2308,0,0,115,720,1330,Medium
2026352035,4/4/2016,6679,0,0,263,644,1583,Medium
2026352035,4/5/2016,5645,0,0,248,621,1538,Medium
2026352035,4/6/2016,3180,0,0,185,738,1421,Medium
2026352035,4/7/2016,2767,0,0,170,673,1392,Medium
2026352035,4/8/2016,3762,0,0,173,719,1425,Medium
2026352035,4/9/2016,3098,0,0,185,700,1413,Medium
2026352035,4/10/2016,5142,0,0,230,654,1515,Medium
2026352035,4/11/2016,3279,0,0,164,694,1405,Medium
2026352035,4/12/2016,1019,0,0,64,223,600,Medium
2320127002,4/1/2016,0,0,0,0,1440,1324,Low
2320127002,4/2/2016,0,0,0,0,1440,1324,Low
2320127002,4/3/2016,0,0,0,0,1440,1324,Low
2320127002,4/4/2016,0,0,0,0,1440,1324,Low
2320127002,4/5/2016,4931,0,0,175,1265,1708,Low
2320127002,4/6/2016,6999,0,0,320,1120,1950,Medium
